type,sector,net_usable_area,net_area,n_rooms,n_bathroom,latitude,longitude,price
departamento,las condes,135.0,140.0,3.0,3.0,-33.4179,-70.5705,8950
casa,las condes,174.0,207.0,3.0,3.0,-33.4061,-70.5548,11900
casa,vitacura,242.0,638.0,6.0,3.0,-33.37937,-70.57288,19900
casa,la reina,195.0,748.0,4.0,3.0,-33.44285,-70.56178,15000
departamento,las condes,86.0,106.0,3.0,2.0,-33.4041,-70.5552,9500
departamento,las condes,127.0,135.0,4.0,3.0,-33.40268,-70.50901999999998,10230
casa,lo barnechea,180.0,300.0,4.0,3.0,-33.33447,-70.52029,13000
casa,lo barnechea,310.0,1000.0,5.0,4.0,-33.3644,-70.5396,22900
casa,lo barnechea,405.0,1260.0,5.0,5.0,-33.36227,-70.53739,27830
departamento,las condes,140.0,240.0,4.0,4.0,-33.4032,-70.5617,18000
casa,vitacura,140.0,200.0,2.0,2.0,-33.3795,-70.5468,12800
casa,lo barnechea,380.0,950.0,4.0,4.0,-33.3377,-70.5011,43000
departamento,providencia,117.0,117.0,3.0,3.0,-33.42265,-70.60847,7037
casa,lo barnechea,440.0,1245.0,5.0,5.0,-33.321220000000004,-70.54283000000001,47000
casa,lo barnechea,350.0,830.0,5.0,6.0,-33.337,-70.5458,39800
casa,nunoa,168.0,264.0,3.0,2.0,-33.46707,-70.5775,6258
casa,las condes,540.0,789.0,8.0,5.0,-33.41178,-70.56009,22490
departamento,las condes,130.0,140.0,3.0,3.0,-33.42373,-70.57673,9450
casa,lo barnechea,190.0,260.0,5.0,5.0,-33.3435,-70.5008,13750
casa,las condes,281.0,520.0,4.0,3.0,-33.39932,-70.51416,20750
casa,vitacura,180.0,600.0,3.0,2.0,-33.39758,-70.58499,18000
departamento,las condes,140.0,340.0,3.0,3.0,-33.41062,-70.56411,12500
departamento,las condes,127.0,155.0,3.0,3.0,-33.408,-70.5738,10300
departamento,nunoa,127.0,139.0,3.0,3.0,-33.4567,-70.5736,9200
casa,la reina,177.0,350.0,3.0,4.0,-33.4537,-70.5244,14000
casa,las condes,180.0,180.0,4.0,2.0,-33.4247,-70.5695,8000
casa,vitacura,620.0,1300.0,8.0,5.0,-33.36737,-70.57569000000002,38000
casa,las condes,180.0,432.0,5.0,3.0,-33.39595,-70.50932,16500
departamento,nunoa,121.46,124.69,3.0,3.0,-33.43724,-70.58211,10500
departamento,vitacura,128.0,142.0,3.0,3.0,-33.3754,-70.5263,14200
casa,vitacura,1213.0,5000.0,6.0,11.0,-33.362759999999994,-70.55739,40000
departamento,vitacura,150.0,160.0,3.0,3.0,-33.40061,-70.58053000000001,12500
departamento,vitacura,140.0,140.0,2.0,3.0,-33.37937,-70.57288,9900
casa,las condes,550.0,5230.0,5.0,5.0,-33.389590000000005,-70.52033,95000
departamento,las condes,65.0,65.0,2.0,2.0,-33.3735,-70.5117,6500
casa,las condes,345.0,1080.0,4.0,4.0,-33.37648,-70.49778,24000
departamento,vitacura,106.0,121.0,3.0,3.0,-33.40412,-70.59349,8700
departamento,las condes,303.0,379.0,4.0,4.0,-33.37832,-70.52436,37500
casa,providencia,150.0,237.0,4.0,2.0,-33.43858,-70.60748000000001,11595
departamento,providencia,76.0,76.0,3.0,2.0,-33.4258,-70.6143,4353
casa,lo barnechea,170.0,170.0,3.0,4.0,-33.3395,-70.5007,14400
departamento,las condes,121.0,143.0,4.0,3.0,-33.40599,-70.57118,12500
departamento,providencia,186.0,186.0,3.0,2.0,-33.4332,-70.6311,10760
departamento,las condes,134.0,134.0,3.0,0.0,-33.421170000000004,-70.50105,10700
casa,las condes,77.0,160.0,3.0,1.0,-33.399,-70.5517,8700
departamento,vitacura,145.0,333.0,4.0,3.0,-33.37937,-70.57288,23950
casa,la reina,98.38,485.0,3.0,2.0,-33.45732,-70.56900999999998,9379
departamento,nunoa,88.0,97.0,3.0,2.0,-33.452940000000005,-70.60473,7750
casa,lo barnechea,353.0,924.0,6.0,5.0,-33.33586,-70.55826,26800
departamento,las condes,146.0,166.0,3.0,3.0,-33.4183,-70.5975,15360
casa,providencia,246.0,283.0,6.0,3.0,-33.44011,-70.631,12450
departamento,lo barnechea,154.0,180.0,4.0,4.0,-33.3475,-70.5486,16200
departamento,providencia,70.0,70.0,3.0,2.0,-33.427170000000004,-70.60318000000001,4094
departamento,las condes,126.0,141.68,4.0,3.0,-33.398709999999994,-70.56573,11500
casa,las condes,228.0,258.0,5.0,4.0,-33.42657,-70.55038,12800
casa,lo barnechea,200.0,320.0,5.0,5.0,-33.33753,-70.50222,14900
departamento,vitacura,122.0,144.0,4.0,3.0,-33.37763,-70.56219,11000
casa,las condes,168.0,232.0,4.0,4.0,-33.415420000000005,-70.57096999999997,14500
casa,la reina,170.0,520.0,4.0,4.0,-33.43851,-70.53017,13740
casa,lo barnechea,700.0,10000.0,3.0,2.0,-33.3452,-70.4764,40000
departamento,la reina,100.0,100.0,3.0,2.0,-33.4385,-70.57300000000002,6700
casa,lo barnechea,210.0,320.0,5.0,3.0,-33.3665,-70.5241,18600
departamento,vitacura,142.0,155.0,4.0,4.0,-33.37494,-70.52651999999998,14500
casa,las condes,181.0,241.0,6.0,4.0,-33.42309,-70.55018000000003,11539
casa,lo barnechea,251.0,1008.0,5.0,4.0,-33.35092,-70.51009,37000
departamento,las condes,140.0,150.0,3.0,2.0,-33.4106,-70.5876,16950
casa,vitacura,303.0,2000.0,5.0,5.0,-33.36331,-70.57667,33000
departamento,nunoa,112.0,127.0,3.0,3.0,-33.45576,-70.57600000000002,8800
departamento,las condes,100.0,117.0,4.0,3.0,-33.42497,-70.58574,8500
casa,las condes,470.0,836.0,5.0,4.0,-33.421170000000004,-70.50105,24000
departamento,vitacura,331.0,351.0,5.0,5.0,-33.3674,-70.5783,28000
casa,lo barnechea,850.0,3000.0,5.0,5.0,-33.3487,-70.5288,75000
casa,lo barnechea,320.0,1600.0,5.0,4.0,-33.35051,-70.5086,27000
departamento,nunoa,50.0,50.0,1.0,1.0,-33.455890000000004,-70.58566,3560
casa,lo barnechea,300.0,813.0,5.0,5.0,-33.3336,-70.5448,25700
departamento,las condes,120.0,120.0,3.0,2.0,-33.3915,-70.5479,11300
casa,la reina,140.0,546.0,5.0,2.0,-33.44054000000001,-70.55523000000002,12635
casa,lo barnechea,450.0,1450.0,5.0,4.0,-33.3589,-70.5308,29000
casa,lo barnechea,215.0,617.0,4.0,4.0,-33.33252,-70.51524,17100
casa,las condes,313.0,648.0,4.0,3.0,-33.3924,-70.5215,32612
departamento,lo barnechea,318.0,369.0,5.0,5.0,-33.36779,-70.50599,27900
departamento,nunoa,64.0,69.0,2.0,2.0,-33.45681,-70.59515999999998,4900
casa,las condes,800.0,2850.0,5.0,5.0,-33.37959,-70.52324,102000
departamento,vitacura,119.0,142.0,2.0,3.0,-33.3912,-70.5642,12300
departamento,las condes,140.0,172.9,4.0,3.0,-33.42483,-70.58954,11300
casa,vitacura,200.0,354.0,4.0,3.0,-33.38551,-70.54279,12500
casa,lo barnechea,255.0,639.0,4.0,4.0,-33.31491,-70.54579,21750
departamento,las condes,135.0,172.0,3.0,2.0,-33.421170000000004,-70.50105,12334
departamento,vitacura,122.0,144.0,3.0,3.0,-33.39795,-70.58279,12600
departamento,nunoa,136.0,140.0,5.0,3.0,-33.44692,-70.60676,8750
departamento,las condes,85.0,91.0,2.0,2.0,-33.42082,-70.57222,6529
departamento,nunoa,90.0,90.0,3.0,2.0,-33.4617,-70.608,5300
casa,nunoa,0.0,0.0,0.0,0.0,-33.4558,-70.6225,15000
casa,las condes,71.0,270.0,3.0,1.0,-33.4177,-70.5344,6278
casa,lo barnechea,220.0,620.0,5.0,3.0,-33.34059,-70.49616,18500
casa,la reina,205.0,388.0,4.0,3.0,-33.4499,-70.5523,13737
casa,lo barnechea,353.0,900.0,5.0,4.0,-33.3359,-70.5605,26800
departamento,las condes,280.0,357.0,4.0,5.0,-33.41281,-70.51301,29500
departamento,la reina,87.0,87.0,3.0,2.0,-33.43291,-70.57465,5500
departamento,providencia,58.0,65.0,2.0,2.0,-33.4293,-70.6077,6300
casa,las condes,100.0,110.0,3.0,2.0,-33.4309,-70.5835,8800
departamento,providencia,186.0,186.0,4.0,3.0,-33.43395,-70.63085,11000
departamento,vitacura,100.0,110.0,3.0,2.0,-33.37937,-70.57288,8800
casa,las condes,331.0,560.0,5.0,4.0,-33.42276,-70.59186,36000
casa,vitacura,173.0,303.0,4.0,2.0,-33.382,-70.571,14900
departamento,vitacura,140.0,180.0,3.0,2.0,-33.4063,-70.5983,12990
casa,las condes,200.0,400.0,3.0,3.0,-33.4287,-70.5694,13500
casa,las condes,159.0,200.0,3.0,3.0,-33.4046,-70.5507,11500
casa,lo barnechea,248.0,700.0,4.0,3.0,-33.3656,-70.5289,17300
departamento,nunoa,101.0,101.0,4.0,2.0,-33.45836,-70.58319,4758
departamento,las condes,75.0,75.0,2.0,2.0,-33.41163,-70.6026,7980
casa,lo barnechea,420.0,2239.0,5.0,5.0,-33.3665,-70.5263,35000
casa,las condes,70.0,265.0,3.0,1.0,-33.39985,-70.54898,8292
casa,lo barnechea,500.0,1700.0,9.0,6.0,-33.3485,-70.509,29990
departamento,lo barnechea,190.0,190.0,3.0,3.0,-33.3598,-70.5203,10500
casa,lo barnechea,376.0,1200.0,4.0,0.0,-33.3452,-70.5468,31000
casa,providencia,91.0,151.0,4.0,2.0,-33.43731,-70.58079000000002,8000
departamento,lo barnechea,144.0,164.0,3.0,3.0,-33.349000000000004,-70.52399,14300
departamento,las condes,190.0,200.0,3.0,2.0,-33.4152,-70.5978,16500
departamento,providencia,83.0,89.0,2.0,3.0,-33.43336,-70.59683000000003,6762
departamento,las condes,113.0,134.0,3.0,3.0,-33.3987,-70.5568,11200
departamento,las condes,39.0,45.0,1.0,1.0,-33.4108,-70.5764,5200
casa,lo barnechea,350.0,1330.0,4.0,5.0,-33.3383,-70.5639,29500
casa,vitacura,267.0,371.0,5.0,4.0,-33.39052,-70.57240999999998,18900
departamento,las condes,78.0,83.0,3.0,2.0,-33.41846,-70.55735,6669
casa,lo barnechea,360.0,1100.0,4.0,3.0,-33.339,-70.5622,29900
departamento,providencia,114.0,194.0,3.0,2.0,-33.4261,-70.6034,17500
casa,lo barnechea,598.0,2100.0,5.0,5.0,-33.343270000000004,-70.49399,49500
departamento,nunoa,50.0,53.0,2.0,1.0,-33.46902,-70.59693,3150
departamento,nunoa,61.0,65.0,2.0,2.0,-33.4498,-70.5957,5000
casa,lo barnechea,250.0,3600.0,3.0,2.0,-33.35924,-70.48254,20000
departamento,vitacura,360.0,383.0,2.0,3.0,-33.3686,-70.5436,27000
casa,la reina,144.0,316.0,4.0,3.0,-33.44717,-70.53668,12500
departamento,las condes,93.0,102.0,3.0,2.0,-33.4056,-70.5726,9250
departamento,nunoa,49.0,54.0,1.0,1.0,-33.43713,-70.58149,4480
casa,lo barnechea,479.0,1083.0,6.0,5.0,-33.33113,-70.5291,28500
departamento,las condes,240.0,260.0,3.0,2.0,-33.417,-70.5836,15400
departamento,nunoa,44.0,44.0,1.0,1.0,-33.4361,-70.58028,4500
departamento,nunoa,64.0,72.0,2.0,2.0,-33.4541,-70.5851,4600
departamento,las condes,210.0,210.0,2.0,3.0,-33.4187,-70.5675,12000
departamento,providencia,108.61,136.67,4.0,3.0,-33.42868,-70.59136,10800
departamento,las condes,160.0,172.0,5.0,4.0,-33.3729,-70.5089,13400
departamento,vitacura,155.0,155.0,3.0,2.0,-33.393,-70.5773,13000
casa,lo barnechea,320.0,1100.0,4.0,3.0,-33.34425,-70.5304,26000
casa,lo barnechea,240.0,500.0,7.0,4.0,-33.3286,-70.51737,14500
departamento,providencia,130.0,134.0,3.0,3.0,-33.43707,-70.63028,6094
departamento,vitacura,114.0,143.0,3.0,2.0,-33.37937,-70.57288,11600
casa,lo barnechea,176.0,480.0,5.0,4.0,-33.33062,-70.51353,15400
casa,lo barnechea,377.0,1280.0,5.0,5.0,-33.33106,-70.5291,26900
departamento,las condes,230.0,245.0,5.0,4.0,-33.4095,-70.5744,16900
casa,nunoa,172.0,234.0,5.0,4.0,-33.4565,-70.6207,7830
casa,vitacura,550.0,4568.0,5.0,5.0,-33.37763,-70.56219,39000
departamento,vitacura,150.0,150.0,3.0,3.0,-33.4068,-70.5967,10600
departamento,nunoa,63.0,63.0,2.0,2.0,-33.453959999999995,-70.61392,4411
departamento,vitacura,140.0,160.0,4.0,4.0,-33.37774,-70.55256,13990
casa,lo barnechea,491.0,1179.0,6.0,6.0,-33.35,-70.51666999999998,29500
departamento,las condes,187.0,187.0,3.0,2.0,-33.4124,-70.5885,15800
casa,lo barnechea,450.0,2020.0,5.0,4.0,-33.335840000000005,-70.52705999999998,46000
departamento,providencia,72.0,72.0,2.0,1.0,-33.4341,-70.6176,4978
departamento,lo barnechea,93.0,102.0,3.0,3.0,-33.3691,-70.50448,7937
casa,las condes,291.05,545.66,4.0,3.0,-33.39289,-70.52169,28361
departamento,providencia,140.0,140.0,3.0,2.0,-33.4318,-70.6113,8750
casa,lo barnechea,220.0,180.0,4.0,4.0,-33.35971,-70.51734,13000
departamento,vitacura,350.0,422.0,4.0,4.0,-33.367670000000004,-70.57814,29490
departamento,providencia,33.0,43.0,1.0,1.0,-33.4318,-70.62411999999998,4078
departamento,vitacura,150.0,180.0,4.0,3.0,-33.394870000000004,-70.57938,10400
departamento,vitacura,120.0,142.0,3.0,3.0,-33.3758,-70.5284,12798
departamento,nunoa,78.0,85.0,3.0,2.0,-33.44868,-70.62009,5900
departamento,las condes,140.0,164.0,4.0,3.0,-33.40609,-70.58444,10810
departamento,las condes,70.0,70.0,3.0,2.0,-33.43142,-70.58179,4524
casa,vitacura,110.0,220.0,4.0,3.0,-33.380759999999995,-70.54505999999998,13500
departamento,vitacura,140.0,170.0,3.0,2.0,-33.399,-70.5817,13900
departamento,providencia,160.0,170.0,4.0,3.0,-33.42599000000001,-70.59198,10700
departamento,las condes,65.0,70.0,2.0,2.0,-33.4026,-70.55941999999997,6700
casa,lo barnechea,170.0,170.0,4.0,5.0,-33.3397,-70.4994,11500
casa,vitacura,150.0,240.0,4.0,3.0,-33.37723,-70.54835,10500
departamento,las condes,110.0,118.0,4.0,3.0,-33.4103,-70.57199,8700
casa,lo barnechea,700.0,1263.0,5.0,6.0,-33.34943,-70.5328,40000
departamento,las condes,111.0,111.0,1.0,1.0,-33.4,-70.5752,12500
departamento,la reina,100.0,105.0,3.0,3.0,-33.4385,-70.571,7900
casa,las condes,164.0,270.0,3.0,4.0,-33.42504,-70.55033,9431
departamento,las condes,73.0,81.0,2.0,2.0,-33.41807,-70.56075,7800
departamento,vitacura,140.0,170.0,4.0,4.0,-33.40319,-70.59364000000002,13400
departamento,las condes,256.0,256.0,4.0,4.0,-33.4057,-70.567,15200
casa,lo barnechea,323.0,1000.0,5.0,5.0,-33.35625,-70.54369,34000
casa,nunoa,228.0,488.0,4.0,5.0,-33.4554,-70.5929,13369
casa,la reina,115.0,80.0,3.0,2.0,-33.44,-70.5535,6648
departamento,las condes,0.0,0.0,3.0,2.0,-33.4049,-70.5846,6500
departamento,las condes,115.0,115.0,3.0,3.0,-33.4158,-70.5684,8890
departamento,vitacura,75.0,75.0,2.0,2.0,-33.3755,-70.5477,6859
casa,lo barnechea,185.0,405.0,5.0,5.0,-33.332,-70.5222,14390
departamento,vitacura,96.0,96.0,2.0,2.0,-33.39925,-70.57335,9200
departamento,nunoa,87.0,91.0,3.0,2.0,-33.4601,-70.5752,5052
casa,lo barnechea,440.0,1768.0,4.0,4.0,-33.34037,-70.56348,34950
departamento,providencia,43.0,43.0,2.0,2.0,-33.4323,-70.60509,4875
departamento,las condes,140.0,158.0,4.0,4.0,-33.40033,-70.50269,12600
departamento,lo barnechea,220.0,241.0,4.0,4.0,-33.335770000000004,-70.50837,13800
departamento,las condes,140.0,160.0,4.0,3.0,-33.40682,-70.57035,12790
casa,las condes,245.0,650.0,5.0,3.0,-33.3978,-70.5312,23400
casa,las condes,130.0,340.0,4.0,2.0,-33.4142,-70.5569,11500
departamento,las condes,110.0,245.0,3.0,3.0,-33.3961,-70.5604,10490
casa,las condes,175.0,201.0,4.0,2.0,-33.4288,-70.5589,11500
departamento,nunoa,60.0,65.0,2.0,2.0,-33.4665,-70.6238,3920
casa,las condes,421.0,1475.0,5.0,4.0,-33.3768,-70.4947,37000
departamento,las condes,54.0,76.0,1.0,1.0,-33.4017,-70.5561,6282
departamento,las condes,140.0,140.0,3.0,3.0,-33.4171,-70.5867,12900
departamento,vitacura,120.0,140.0,3.0,2.0,-33.3971,-70.5858,12300
departamento,la reina,155.0,163.0,3.0,2.0,-33.4471,-70.5288,11500
departamento,las condes,45.0,54.0,1.0,1.0,-33.4023,-70.5566,5385
departamento,las condes,77.0,80.0,3.0,2.0,-33.4255,-70.5897,6385
casa,vitacura,255.0,232.0,4.0,3.0,-33.38545,-70.55619,12700
departamento,nunoa,95.0,105.0,3.0,2.0,-33.45511,-70.57516,6128
departamento,providencia,114.0,130.0,3.0,2.0,-33.42948,-70.59914,7300
departamento,nunoa,56.0,63.0,2.0,2.0,-33.458,-70.5734,4600
departamento,las condes,130.0,220.0,3.0,3.0,-33.4028,-70.5699,10700
casa,vitacura,145.0,228.0,4.0,2.0,-33.4001,-70.5892,16900
departamento,vitacura,130.0,140.0,3.0,3.0,-33.37792,-70.5615,12250
departamento,providencia,94.0,94.0,3.0,3.0,-33.42514,-70.60874,7300
casa,vitacura,351.0,1482.0,7.0,5.0,-33.39286,-70.58117,48000
casa,las condes,370.0,1000.0,4.0,4.0,-33.38582,-70.52241,37950
departamento,providencia,95.0,100.0,3.0,2.0,-33.43145,-70.60933,6900
departamento,las condes,202.0,202.0,3.0,3.0,-33.4203,-70.5849,12600
casa,lo barnechea,201.0,400.0,4.0,3.0,-33.33274,-70.5191,16700
departamento,nunoa,65.0,65.0,2.0,2.0,-33.453920000000004,-70.57767,4800
departamento,las condes,130.0,130.0,3.0,3.0,-33.4238,-70.5768,9450
casa,vitacura,100.0,267.0,4.0,2.0,-33.38867,-70.55234,12900
casa,la reina,436.0,735.0,3.0,2.0,-33.45064,-70.55086,13800
casa,las condes,114.0,131.0,3.0,2.0,-33.42099,-70.58391,10100
departamento,vitacura,465.0,679.0,5.0,5.0,-33.36826,-70.54695,42000
departamento,las condes,255.0,255.0,3.0,2.0,-33.4185,-70.5925,20000
casa,las condes,370.0,1000.0,4.0,4.0,-33.421170000000004,-70.50105,38000
departamento,providencia,48.42,53.69,1.0,1.0,-33.4406,-70.61716,3900
departamento,vitacura,126.0,138.0,3.0,3.0,-33.40332,-70.59685,11400
casa,vitacura,650.0,2200.0,7.0,6.0,-33.3721,-70.5646,44000
casa,la reina,300.0,350.0,5.0,3.0,-33.43546,-70.54939,14042
departamento,nunoa,75.0,83.0,2.0,2.0,-33.448,-70.5728,6800
departamento,nunoa,100.0,106.0,3.0,2.0,-33.45167,-70.60805,6990
casa,la reina,336.0,1958.79,4.0,3.0,-33.44617,-70.54569000000002,31100
casa,las condes,281.0,1271.0,5.0,4.0,-33.37352,-70.49221,27000
departamento,providencia,114.0,114.0,4.0,3.0,-33.43163,-70.61208,9500
departamento,las condes,83.0,97.0,2.0,2.0,-33.4189,-70.55452,6950
departamento,las condes,85.0,95.0,3.0,2.0,-33.408159999999995,-70.57588,8300
departamento,las condes,115.0,120.0,3.0,4.0,-33.4196,-70.5689,7800
casa,lo barnechea,320.0,1450.0,4.0,3.0,-33.3411,-70.507,21800
departamento,providencia,86.0,90.0,2.0,2.0,-33.4407,-70.60906999999997,7700
departamento,providencia,69.0,83.0,2.0,2.0,-33.42479,-70.59751999999997,7450
casa,las condes,176.0,340.0,4.0,3.0,-33.3906,-70.5338,12990
departamento,lo barnechea,83.0,99.0,2.0,2.0,-33.3606,-70.5133,8300
casa,lo barnechea,320.0,630.0,4.0,3.0,-33.3497,-70.5115,24650
casa,la reina,170.0,400.0,4.0,3.0,-33.4306,-70.5542,14500
casa,las condes,160.0,410.0,3.0,3.0,-33.421170000000004,-70.50105,16500
departamento,vitacura,107.0,107.0,2.0,2.0,-33.3913,-70.5549,9700
departamento,la reina,86.0,98.0,3.0,2.0,-33.434490000000004,-70.57259,7001
casa,lo barnechea,369.0,1224.0,5.0,4.0,-33.3443,-70.5056,21000
departamento,las condes,129.0,129.0,4.0,3.0,-33.39567,-70.56312,9990
casa,las condes,230.0,300.0,5.0,4.0,-33.4151,-70.57375,15000
departamento,las condes,132.0,132.2,3.0,3.0,-33.40668,-70.56774,12300
casa,las condes,330.0,1361.0,4.0,4.0,-33.3782,-70.5142,37000
casa,lo barnechea,420.0,1490.0,7.0,5.0,-33.3353,-70.5289,30000
departamento,nunoa,74.0,92.0,3.0,2.0,-33.45368,-70.61021,5200
departamento,vitacura,370.0,470.0,6.0,6.0,-33.39692,-70.59684,37000
departamento,las condes,68.0,74.0,2.0,2.0,-33.40695,-70.55913000000002,6352
casa,la reina,179.9,676.0,4.0,4.0,-33.44681,-70.52967,12500
departamento,providencia,73.0,86.0,2.0,2.0,-33.4374,-70.6061,6390
departamento,vitacura,155.0,185.0,3.0,2.0,-33.3945,-70.5781,10500
casa,nunoa,161.0,171.0,4.0,3.0,-33.446670000000005,-70.61881,9337
casa,vitacura,180.0,480.0,4.0,2.0,-33.38387,-70.57876999999998,24900
casa,vitacura,378.0,5300.0,5.0,4.0,-33.36939,-70.55468,39800
departamento,providencia,118.0,118.0,3.0,3.0,-33.4273,-70.6046,9000
departamento,providencia,91.0,97.0,3.0,2.0,-33.4376,-70.627,7808
departamento,nunoa,89.0,95.0,3.0,2.0,-33.45177,-70.601,7149
departamento,las condes,126.0,140.0,3.0,3.0,-33.40005,-70.56616,13500
departamento,nunoa,64.0,72.0,2.0,2.0,-33.45783,-70.59872,4600
departamento,las condes,418.0,418.0,3.0,3.0,-33.3823,-70.5164,28900
casa,lo barnechea,170.0,400.0,4.0,3.0,-33.35128,-70.50692,15000
casa,lo barnechea,180.0,530.0,5.0,5.0,-33.33025,-70.51414,14600
casa,lo barnechea,181.0,342.0,5.0,4.0,-33.3525,-70.5044,11500
departamento,las condes,95.0,100.0,3.0,3.0,-33.3943,-70.5573,8500
casa,la reina,180.0,280.0,4.0,3.0,-33.46414,-70.53062,12800
casa,nunoa,230.0,480.0,6.0,2.0,-33.4375,-70.5821,15500
departamento,las condes,60.0,70.0,2.0,2.0,-33.40314,-70.55481,6500
departamento,las condes,90.0,120.0,1.0,2.0,-33.4139,-70.59838,14000
departamento,las condes,166.0,166.0,4.0,3.0,-33.4307,-70.56385,10783
casa,nunoa,120.0,236.0,3.0,2.0,-33.4505,-70.58339000000002,9794
casa,la reina,188.0,348.0,5.0,3.0,-33.433,-70.5551,10800
departamento,vitacura,135.0,308.0,3.0,3.0,-33.4012,-70.5841,19500
departamento,las condes,276.0,546.0,4.0,0.0,-33.421170000000004,-70.50105,30000
departamento,las condes,105.0,118.0,3.0,2.0,-33.39688,-70.55977,8500
casa,las condes,182.0,496.0,4.0,2.0,-33.4118,-70.5462,14500
departamento,las condes,80.0,96.0,2.0,2.0,-33.4002,-70.57186,8650
casa,la reina,118.0,827.0,4.0,2.0,-33.4415,-70.5602,17000
departamento,nunoa,100.0,125.0,3.0,2.0,-33.4624,-70.6008,7000
casa,lo barnechea,240.0,600.0,6.0,5.0,-33.35,-70.51666999999998,22990
casa,lo barnechea,540.0,2073.0,5.0,3.0,-33.34499,-70.49974,38000
casa,lo barnechea,300.0,850.0,4.0,3.0,-33.338,-70.5589,21500
casa,vitacura,220.0,415.0,6.0,4.0,-33.38346,-70.57466,19500
casa,la reina,100.0,124.0,4.0,4.0,-33.44028,-70.56039,8050
casa,las condes,494.0,1947.0,5.0,5.0,-33.3992,-70.5195,52000
departamento,las condes,140.0,120.0,3.0,3.0,-33.4182,-70.5977,11
casa,vitacura,300.0,800.0,5.0,5.0,-33.37706,-70.56817,28000
departamento,nunoa,60.0,67.0,3.0,2.0,-33.4464,-70.5749,5265
casa,lo barnechea,200.0,500.0,4.0,5.0,-33.33898,-70.55904,16500
casa,lo barnechea,320.0,1040.0,6.0,4.0,-33.3532,-70.5141,19900
departamento,nunoa,67.0,144.0,2.0,2.0,-33.45449,-70.60383,5900
departamento,vitacura,92.0,99.0,2.0,3.0,-33.3962,-70.5652,8200
casa,las condes,60.0,180.0,3.0,1.0,-33.404540000000004,-70.55119,8900
casa,la reina,170.0,3000.0,4.0,5.0,-33.45264,-70.52028,24500
casa,lo barnechea,400.0,1370.0,7.0,7.0,-33.33315,-70.53323,45000
casa,providencia,180.0,491.0,5.0,3.0,-33.43922,-70.59445,14800
departamento,la reina,66.0,72.0,2.0,0.0,-33.4402,-70.5556,5032
departamento,vitacura,84.0,84.0,4.0,4.0,-33.38445,-70.55899000000002,9744
departamento,nunoa,102.84,114.44,3.0,3.0,-33.43663,-70.57975,9128
departamento,nunoa,40.0,44.0,1.0,1.0,-33.45449,-70.60383,3790
casa,las condes,600.0,2000.0,5.0,5.0,-33.37767,-70.51271,50000
casa,lo barnechea,461.0,2053.0,5.0,7.0,-33.3449,-70.4942,39900
departamento,vitacura,380.0,400.0,4.0,3.0,-33.37937,-70.57288,24000
departamento,las condes,140.0,160.0,4.0,3.0,-33.410779999999995,-70.60176,12500
casa,lo barnechea,158.0,317.0,3.0,3.0,-33.35,-70.51666999999998,11000
casa,la reina,99.0,120.0,3.0,2.0,-33.45557,-70.56984,6750
departamento,las condes,124.0,140.0,4.0,3.0,-33.4204,-70.5388,8790
departamento,vitacura,115.0,125.0,3.0,3.0,-33.38353,-70.5532,10750
departamento,vitacura,140.0,166.0,4.0,3.0,-33.40373,-70.59409000000002,11900
casa,vitacura,245.0,680.0,5.0,4.0,-33.37748,-70.58136,28800
departamento,las condes,124.0,139.0,3.0,2.0,-33.40765,-70.57434,9800
casa,la reina,92.0,378.0,3.0,2.0,-33.447959999999995,-70.55288,9900
casa,providencia,160.0,160.0,4.0,4.0,-33.419000000000004,-70.6051,13700
casa,la reina,350.0,2000.0,7.0,5.0,-33.4461,-70.52034,15208
departamento,vitacura,284.0,316.0,3.0,3.0,-33.3924,-70.5933,29400
casa,nunoa,122.0,343.0,3.0,2.0,-33.4585,-70.6033,14135
casa,la reina,125.0,210.0,4.0,2.0,-33.445170000000005,-70.55654,9410
departamento,nunoa,78.0,86.0,2.0,2.0,-33.43838,-70.5813,6850
casa,lo barnechea,178.0,470.0,5.0,5.0,-33.35,-70.51666999999998,13900
departamento,las condes,90.0,95.0,3.0,2.0,-33.41958,-70.57392,6400
casa,las condes,350.0,1035.0,6.0,5.0,-33.40589,-70.52293,24990
departamento,las condes,128.0,150.0,4.0,3.0,-33.42197,-70.57651,12500
departamento,vitacura,66.0,72.0,2.0,2.0,-33.38524,-70.5549,6990
casa,vitacura,175.0,244.0,4.0,4.0,-33.39065,-70.578,18100
casa,nunoa,130.0,168.0,4.0,2.0,-33.45906,-70.58667,8360
departamento,las condes,73.0,88.0,2.0,2.0,-33.3884,-70.54002,7000
casa,las condes,130.0,250.0,3.0,3.0,-33.42427,-70.54968000000001,8800
departamento,lo barnechea,372.0,741.0,3.0,4.0,-33.35,-70.51666999999998,51000
departamento,vitacura,148.0,148.0,3.0,2.0,-33.4109,-70.6017,13500
casa,las condes,410.0,1700.0,6.0,4.0,-33.3761,-70.4952,29800
casa,nunoa,220.0,512.0,8.0,4.0,-33.44441,-70.58905,11975
departamento,nunoa,82.0,92.0,3.0,2.0,-33.45427,-70.57563,5751
casa,las condes,85.0,210.0,3.0,1.0,-33.404309999999995,-70.55167,8900
casa,la reina,125.0,272.0,4.0,2.0,-33.4451,-70.55462,8729
departamento,nunoa,33.4,33.4,1.0,1.0,-33.45136,-70.62902,3801
